Year,Current Actual UPB,Current Interest Rate,Net Sales Proceeds,Expenses,ELTV,Legal Costs,Maintenance and Preservation Costs,Taxes and Insurance,Miscellaneous Expenses,Actual Loss Calculation,Modification Cost,Loan Sequence Number,Current Month Modification Cost,Interest Bearing UPB,Credit Score,Mortgage Insurance Percentage (MI %),Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate
1999,112817.4297,7.076305283,0,0,0,0,0,0,0,0,0,232165,0,112817.4297,777.468687,5.793521284,70.87579223,71.39571647,114217.7946,70.78900464,7.238945533
2000,114011.3515,7.629225323,101751.638,-1253.975,0,-632.755,-3.75,-267.47,-350,552.888,0,777279,-113.7721212,114011.3515,860.9516314,6.212825775,73.18674328,56.74020111,120948.7585,72.75450441,8.16934802
2001,114142.7187,7.555354707,52968.3381,-3261.158276,0,-996.2698276,-1204.559828,-788.0208621,-272.3077586,-4224.271897,-718.1685714,1226329,7.879501466,114142.7187,771.8166511,4.539218214,72.07314123,54.04392837,136550.1458,71.50131884,7.100649366
2002,115869.2427,7.122502535,71984.70476,-5053.300989,0,-1259.671593,-2170.714451,-1356.841484,-266.0734615,-5823.596703,93.04703704,1424769,49.56968412,115869.2427,766.1308148,3.305992037,69.25178207,50.5014276,141372.8076,68.59842673,6.48733064
2003,112805.2471,6.562719456,71115.03915,-6097.28315,0,-1584.923425,-2529.699606,-1690.029685,-292.6304331,-8330.554865,999.4606522,1348072,38.91099213,112805.2471,781.7097952,2.433431398,66.88143424,50.37556025,144215.3928,65.86151203,5.527346121
2004,121239.4981,6.060104325,60452.7973,-5569.994691,0,-1786.581636,-1929.9132,-1494.622509,-358.8773455,-13032.48238,657.7634783,1454504,20.4452473,121239.4981,731.4991763,3.317758741,70.49419299,51.67558997,152044.9734,69.08619909,5.678560541
2005,129477.4718,5.890548587,67202.68841,-7439.413731,0,-2213.184769,-2904.561731,-1890.443808,-431.2234231,-18164.04962,637.2358182,1778998,9.607377759,129477.4718,731.9532773,2.97659934,70.70557608,63.03454102,168029.1968,69.11714084,5.721046507
2006,137828.4633,5.91549049,80830.86652,-7909.232803,0,-2649.791423,-2824.190879,-1983.401381,-451.8491213,-19349.07762,195.7006667,2127754,2.581789224,137828.4633,730.9359783,3.2413047,72.34546631,58.05415352,176497.6138,69.96230688,6.392053527
2007,143825.703,6.007266244,81252.75326,-8001.660852,0,-2643.227444,-2619.04063,-2339.574296,-399.8184815,-23234.43326,1609.169474,2503818,2.360177846,143825.703,731.5376736,4.588546573,74.18370783,56.79829221,181366.2531,71.27996151,6.364880535
2008,149593.1628,6.041143786,87567.33356,-6938.576286,0,-2308.39049,-2005.647388,-2214.310694,-410.2277143,-38289.43045,2419.347222,2872275,15.00329489,149593.1628,745.937505,4.712904123,71.75611645,58.8980062,201690.1462,70.41446898,6.131818433
2009,152531.4192,5.930750802,95510.10281,-7482.2414,0,-2294.78234,-2058.83794,-2810.638347,-317.9827733,-58951.13642,1337.39,3052099,121.0370157,152529.5486,761.4909321,1.821714768,68.5120805,100.760519,213544.8776,66.84463056,5.114121287
2010,155303.5855,5.71312643,96794.93617,-8843.195854,0,-2592.0183,-2391.076982,-3511.047448,-349.0531247,-72484.09689,4735.578834,3126293,344.1463564,155228.3937,759.8997573,1.635202356,70.3934299,295.944188,205525.2696,68.14479287,4.820875224
2011,156302.2277,5.463538097,100023.5807,-11234.37501,0,-2800.648272,-3582.701141,-4475.656957,-375.3686449,-83334.27038,8559.114073,3138564,416.321674,156166.6918,759.6556402,2.092446404,71.66986576,338.6982569,204596.0329,69.25932679,4.482690082
2012,154666.4641,5.179956363,100234.8701,-12263.67397,0,-2877.129177,-3730.525225,-5129.402673,-526.6168972,-77420.37648,10627.85403,3092495,445.5027249,154467.1033,760.3917066,2.903893985,78.15010844,367.7789164,207491.1157,75.59042521,3.83513618
2013,154777.4715,4.821721255,106175.1192,-16885.85434,0,-3230.14779,-5982.200794,-6788.448834,-885.0569268,-70341.40988,13906.6577,2932052,467.5036621,154450.0746,752.0552526,4.109177247,77.42870078,324.4130063,200849.9366,75.03177126,3.787188515
2014,159700.3109,4.628401647,105728.8573,-22169.61906,0,-3840.890233,-7902.172799,-9070.139793,-1356.416231,-77584.78072,19282.75453,3091296,463.868474,159317.8163,747.5505645,6.341652513,77.19592367,192.6831452,206897.0726,75.83794585,4.350214247
2015,163060.4885,4.485647524,113758.5575,-23720.05414,0,-4591.227382,-5933.445191,-11993.51383,-1201.867743,-80042.56597,23309.6368,3297262,417.3187846,162683.2526,750.2184411,5.773145846,74.43405796,121.3673303,223681.1989,73.5305197,3.986026492
2016,165952.197,4.359250646,121647.1856,-23112.72102,0,-4476.331123,-5872.207438,-11654.73986,-1109.442592,-79047.00713,28648.98603,3446684,372.1131831,165591.3843,749.0125824,6.215649622,74.17820389,87.99457308,231527.3356,73.50615051,3.841944967
2017,170512.9457,4.264678625,155420.2037,-13835.72934,177.616251,-3040.578822,-4184.729165,-5728.97793,-881.4434206,-42827.14406,37049.68465,3563069,323.3520359,170210.2722,746.0527574,6.917199968,75.07604488,73.139172,231401.1417,74.58228648,4.122107174
2018,175286.9753,4.256891695,154226.5876,-7044.042123,203.1377792,-1616.262148,-1910.921796,-2584.04358,-932.8145988,-24280.40372,32518.05981,3746683,257.1864092,175063.2189,748.4923959,8.062275833,76.21624221,48.23375478,233547.9392,75.92894784,4.590447352
2019,178414.4799,4.301414019,155354.5834,-5145.861835,147.9957278,-1466.064921,-1422.58124,-1512.840311,-744.3753632,-12895.68705,30391.97476,3955789,211.425444,178263.0022,752.2214243,8.276569709,76.15879639,37.73438315,249150.2909,75.94657974,4.422347342
2020,175626.4363,4.198810178,161931.1833,-5651.51961,128.3622904,-1314.958411,-1389.355719,-2017.248555,-929.9569247,-6432.139563,24661.37971,3782203,144.6719216,175501.9877,758.5672631,5.763680543,71.88927044,33.64736832,280969.9379,71.64232785,3.365639275
